tagId,timestamp,coordinates_x,coordinates_y
27005,1548053255.38,3342,728
28261,1548053255.40,5528,2854
27005,1548053255.42,3343,728
28261,1548053255.45,5528,2870
27005,1548053255.47,3343,731
28261,1548053255.49,5528,2914
27005,1548053255.51,3342,734
28261,1548053255.53,5528,2948
27005,1548053255.55,3343,735
28261,1548053255.58,5533,2958
27005,1548053255.60,3345,735
28261,1548053255.62,5538,2963
27005,1548053255.64,3345,735
28261,1548053255.66,5542,2967
27005,1548053255.68,3345,734
28261,1548053255.70,5550,2969
27005,1548053255.72,3345,734
28261,1548053255.74,5562,2970
27005,1548053255.76,3346,734
28261,1548053255.79,5570,2972
27005,1548053255.81,3346,735
28261,1548053255.83,5613,2975
27005,1548053255.85,3345,734
28261,1548053255.87,5661,2977
27005,1548053255.89,3345,734
28261,1548053255.92,5677,2981
27005,1548053255.94,3345,734
28261,1548053255.96,5686,2984
27005,1548053255.98,3345,734
28261,1548053256.00,5702,2991
27005,1548053256.01,3343,734
28261,1548053256.03,5724,2996
27005,1548053256.06,3341,734
28261,1548053256.08,5740,2996
27005,1548053256.10,3341,734
28261,1548053256.12,5758,2998
27005,1548053256.14,3341,734
28261,1548053256.16,5768,2996
27005,1548053256.18,3343,735
28261,1548053256.20,5771,2998
27005,1548053256.22,3343,735
28261,1548053256.24,5776,3001
27005,1548053256.26,3343,735
28261,1548053256.28,5779,3002
27005,1548053256.30,3343,734
28261,1548053256.32,5796,3003
27005,1548053256.35,3342,737
28261,1548053256.37,5832,3005
27005,1548053256.39,3341,734
28261,1548053256.41,5875,3005
27005,1548053256.43,3341,734
28261,1548053256.45,5908,3005
27005,1548053256.47,3341,734
28261,1548053256.49,5922,3005
27005,1548053256.51,3341,734
28261,1548053256.53,5980,3003
27005,1548053256.55,3341,737
28261,1548053256.57,6038,3003
27005,1548053256.60,3340,737
28261,1548053256.62,6067,3003
27005,1548053256.64,3340,739
28261,1548053256.66,6095,3002
27005,1548053256.68,3340,739
28261,1548053256.70,6112,3002
27005,1548053256.72,3339,737
28261,1548053256.74,6136,3002
27005,1548053256.76,3338,737
28261,1548053256.78,6179,3002
27005,1548053256.80,3337,737
28261,1548053256.83,6214,3002
27005,1548053256.85,3337,737
28261,1548053256.87,6223,3002
27005,1548053256.89,3337,739
28261,1548053256.91,6232,3002
27005,1548053256.93,3337,739
28261,1548053256.95,6261,2999
27005,1548053256.97,3337,739
28261,1548053257.00,6297,2995
27005,1548053257.02,3335,739
28261,1548053257.04,6312,2988
27005,1548053257.06,3334,739
28261,1548053257.08,6319,2973
27005,1548053257.10,3335,739
28261,1548053257.12,6324,2944
27005,1548053257.20,3334,739
28261,1548053257.22,6345,2922
27005,1548053257.25,3334,742
28261,1548053257.27,6365,2916
27005,1548053257.29,3334,739
28261,1548053257.32,6366,2903
27005,1548053257.34,3334,742
28261,1548053257.36,6398,2862
27005,1548053257.39,3334,742
28261,1548053257.41,6434,2828
27005,1548053257.43,3334,742
28261,1548053257.45,6473,2765
27005,1548053257.47,3334,743
28261,1548053257.49,6510,2703
27005,1548053257.51,3332,741
28261,1548053257.53,6516,2679
27005,1548053257.55,3332,743
28261,1548053257.57,6520,2656
27005,1548053257.59,3330,744
28261,1548053257.61,6522,2654
27005,1548053257.63,3330,744
28261,1548053257.65,6524,2652
27005,1548053257.67,3330,745
28261,1548053257.69,6526,2651
27005,1548053257.71,3330,745
28261,1548053257.73,6528,2651
27005,1548053257.75,3329,745
28261,1548053257.77,6528,2651
27005,1548053257.79,3330,744
28261,1548053257.81,6532,2651
27005,1548053257.83,3330,744
28261,1548053257.85,6536,2651
27005,1548053257.88,3330,743
28261,1548053257.90,6536,2651
27005,1548053257.92,3329,740
28261,1548053257.94,6536,2651
27005,1548053257.96,3329,738
28261,1548053257.99,6536,2651
27005,1548053258.01,3329,736
